"HolderAddress","PrivateTag","Quantity","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","-","349","No"
"0xbb05c476f70e72523ad83106cbc050e771ff73a5","-","25","No"
"0xa67b6939c0e053bc36da844d15cd3f3fa5c8b4b6","-","9","No"
"0xa27b8ca845ae157138caebdc2424e6e5fb841746","-","7","No"
"0x088814aa47878c126c527cf61e40955f38305de3","-","6","No"
"0x7e8e3531f0c1628cf19831cc4857ef18a954a1af","-","4","No"
"0xd7a4acaf3263ef2616afe7773d538801dda9b6b0","-","4","No"
"0xdd72aa01bbffbade64766018c406af7558f025ff","-","3","No"
"0x5e8171e63fc89064d030c95c9ab429d69e5951e5","-","2","No"
"0x058a9bbaa8e8e4dbd3defb383aee69d617e83d6a","-","2","No"
"0x7dcb39fe010a205f16ee3249f04b24d74c4f44f1","-","2","No"
"0xecd7a7c7b3ca6037f431693ebdf22e0c074c76a8","-","2","No"
"0xf2f86bc7e613cf7241babf4bd23882be5f029254","-","2","No"
"0x7d53f718c8799110bd8598f9aad4a1fb109aa0ab","-","1","No"
"0x7e730c8561cbc5f454b31fdc923fc36f8968552b","-","1","No"
"0x85c4cdbbe7cbb7eececa0f835e66451de5a61d1c","-","1","No"
"0x9304c9f1e7ef20ca1716fa485c7144466d60893d","-","1","No"
"0x96bbbfdd1efc9982cf06d43ed6c5b3e7bff39674","-","1","No"
"0x038a0c287296ef1801c5e4e56d4ea2f3232544d4","-","1","No"
"0x1fb15dbaee24cd07887010960eea11540ef21da8","-","1","No"
"0x2e285e94843a620a01a2462ab4b19a17b0847ddf","-","1","No"
"0xbd96a914e932aff88a8529fb86d49314c6fafcea","-","1","No"
"0xbdd8d71b40073479f72ddc0d4f7387237efdf422","-","1","No"
"0xc1fa63bd4189a9c49a30010b6a3ab11194a95842","-","1","No"
"0xcc89ec35fcecc62273603b6031f93ca692a54414","-","1","No"
"0xd10c018d6ca3542b55c33fc691e979c47b7641e7","-","1","No"
"0x4cd3eff53d3ffd35a42448e615e3c05f505082c5","-","1","No"
"0xdb8c634afd4668e86bb6609d5b501e78135d1f80","-","1","No"
"0x5dc3fad7105c40af78076bf791229fdbfc994324","-","1","No"
"0x5dd9746a6b2ad0abaa08f1885a9cd4b4b61659e1","-","1","No"
"0x6497b5580a58f2b890b3ad66bc459341312acc23","-","1","No"
"0xf606c1e43b09776852d524d421f865f4044aaba7","-","1","No"
"0xf899ba19116d911b35fd7eb09f5a85c3285aec49","-","1","No"
